Kategori,Başlık,İçerik
Bilim Teknoloji,Uzayda bir ilk daha: Mars'ta solunabilir oksijen üretildi,"NASA'nın Perseverance gezgini, Kızıl Gezegen'deyken yetişkin bir insanı üç saat boyunca ayakta tutmaya yetecek kadar (4,3 ons) solunabilir oksijen üretti."
Bilim Teknoloji,Meta yeni ve daha güçlü bir yapay zeka sistemi geliştiriyor,"Wall Street Journal'da yer alan habere göre Meta, OpenAI tarafından sunulan en gelişmiş dil modeli kadar güçlü olması amaçlanan yeni bir yapay zeka sistemi üzerinde çalışıyor."
Bilim Teknoloji,"Türk öğrenciler uluslararası astronomi, astrofizik ve bilim olimpiyatlarından madalyalarla döndü","Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, Türk öğrencilerin, uzayı sadece birkaç ülkenin oyun sahası olmaktan çıkarmayı hedeflediklerini belirterek, bu vizyonla sistematik ve kararlı bir şekilde gençlere yatırım yapmayı sürdüreceklerini ifade etti."
Bilim Teknoloji,Japonya ve Hindistan uzay teknolojilerinde işbirliğini geliştirecek,"Japonya ve Hindistan Başbakanları, uzay teknolojileri dahil çeşitli alanlarda işbirliğinin geliştirilmesinde anlaşmaya vardı."
Bilim Teknoloji,Orta Vadeli Program'la yerli yazılım firmaları destekleniyor,"Orta Vadeli Program'la (OVP), yerli yazılım firmalarının işbirliklerini destekleyici platformlar oluşturulması ve sektördeki insan kaynağının artırılması hedefleniyor."
Bilim Teknoloji,Yeni keşfedilen kuyruklu yıldız bu hafta sonu gözlemlenebilecek,Sadece bir ay önce keşfedilen Nishimura adlı kuyruklu yıldız bu hafta sonu çıplak gözle görülebilecek. Bir sonraki geçişi ise 437 yıl sonra olacak.
Bilim Teknoloji,Savaş uçaklarının keskin gözü ASELPOD'da yeni teslimat,"En keskin milli teknolojik göz ASELPOD, gelişmeye devam ediyor. Savaş uçaklarına hassas görüntüleme yeteneği kazandıran ASELPOD Hedefleme Podu Geliştirme ve Entegrasyon Projesi kapsamında yeni teslimat yapıldı."
Bilim Teknoloji,Türk Bilimsel Araştırma Seferi yabancı bilim insanlarına laboratuvar oldu,"Cumhurbaşkanlığı himayelerinde, Sanayi ve Teknoloji Bakanlığı uhdesinde, TÜBİTAK MAM Kutup Araştırmaları Enstitüsü koordinasyonunda gerçekleşen 3. Ulusal Arktik Bilimsel Araştırma Seferi bu yıl ilk defa yabancı bilim insanlarını misafir etti."
Bilim Teknoloji,"Güneş patlaması, kuyruklu yıldızın kuyruğunu parçaladı",Nishimura Kuyruklu Yıldızı'nın Güneş'ten yayılan yüklü parçacık patlamaları nedeniyle kuyruğunu kaybettiği anlar astrofotoğrafçılar tarafından kayıt altına alındı.
Bilim Teknoloji,"Çin uzaktan algılama özellikli ""Yaogan-33"" uydusunu fırlattı","Çin, uzaktan algılama özellikli ""Yaogan"" sınıfı yer gözlem uydusunu uzaya gönderdi."
Bilim Teknoloji,Çin'in devlet kurumlarında iPhone kullanılmasını yasakladığı iddia edildi,"ABD'nin Wall Street Journal (WSJ) gazetesi, Çin'de hükümete bağlı kurum ve kuruluşlarda çalışanlara, Apple'ın iPhone model akıllı telefonları ve diğer yabancı markalara ait modelleri, iş için kullanmamaları ve iş yerine getirmemeleri talimatı verildiğini ileri sürdü."
Bilim Teknoloji,Togg'un Gemlik'teki Teknoloji Kampüsü'nde çalışmalar hızla sürüyor,"Türkiye'nin otomobili Togg'un, Bursa'nın Gemlik ilçesindeki Teknoloji Kampüsü'nde geçen ay 1965 adet T10X model akıllı cihazın kullanıcılarıyla buluşturularak rekora ulaşılmasının ardından üretim bantları ve kalite kontrol aşamalarında çalışmalar vardiya sayısının artmasıyla hızla sürüyor."
Bilim Teknoloji,Akıllı kıyafet çağı başlıyor: Veri kaydedebilen kumaşa 22 milyon dolarlık yatırım,"ABD, veri kaydedebilen akıllı tekstil ürünleri geliştirilmesi için 22 milyon dolarlık yatırım yaptı. Akıllı e-pantolon projesiyle üretilmeye çalışılacak kumaş, hem veri kaydedebilecek hem de  günlük kıyafetler gibi sorunsuz şekilde yıkanıp katlanabilecek."
Bilim Teknoloji,Türkiye'nin ilk uzay yolcuları mikroalglerle karbondioksiti oksijene dönüştürecek,"Türkiye'nin insanlı ilk uzay yolculuğu kapsamında gerçekleştirilecek deneyle, mikroalg türlerinin karbondioksiti oksijene çevirme performansı sensörler vasıtasıyla incelenecek."
Bilim Teknoloji,TEKNOFEST Ankara'yı 943 bin kişi ziyaret etti,"Ankara'da ilk kez gerçekleştirilen ve 5 gün süren dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST'te ziyaretçi sayısı 943 bin oldu."
Bilim Teknoloji,"TEKNOFEST'te Edirneli öğrencilerin ""Robokod"" takımı birinci oldu","Edirne Gençlik Merkezi Deneyap Türkiye Teknoloji Atölyeleri öğrencilerinin oluşturduğu ""Robokod"" takımı, TEKNOFEST kapsamında düzenlenen yarışmalarda kendi kategorilerinde birinci oldu."
Bilim Teknoloji,Bilim insanları Ay’da yaşama imkan sağlayacak bir enerji kaynağı geliştirdi,Bilim insanları astronotların Ay’da uzun süre boyunca bulunmasına imkan sağlayacak bir enerji kaynağı geliştirdi.
Bilim Teknoloji,Ankara'da ilk kez düzenlenen TEKNOFEST sona erdi,"Cumhuriyet'in 100. yılında ilk kez başkentte düzenlenen ve vatandaşların yoğun ilgi gösterdiği dünyanın en büyük uzay, havacılık ve teknoloji festivali TEKNOFEST sona erdi."
Bilim Teknoloji,"Hindistan'a ait uzay keşif aracı, Ay'ın güney kutbundaki görevini tamamladı","Hindistan'ın Chandrayaan-3 uzay keşif aracı, Ay'ın güney kutbundaki görevini tamamlamasının ardından uyku moduna alındı."
Bilim Teknoloji,TEKNOFEST Ankara'nın kapanış töreni yapıldı,"Dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST, Cumhuriyet'in 100. yılında Ankara'da teknoloji ve bilim meraklılarını ağırladı."
Bilim Teknoloji,"İHA'ları baz istasyonuna dönüştüren UYGAR, ticarileşme aşamasına geldi","İnsansız hava araçlarını baz istasyonu ile stratejik bir haberleşme aracına dönüştüren UYGAR Haberleşme Podu, yurt içi ve dışında sorumluluk üstlenmeye hazır."
Bilim Teknoloji,SOLOTÜRK pilotlarından 'KAAN' mesajı,"Türk Hava Kuvvetlerinin gösteri timi SOLOTÜRK'ün pilotlarından Binbaşı Emre Mert, TSK envanterindeki en yüksek performanslı uçağın F-16 olduğunu, Milli Muharip Uçak KAAN'ın ise F16'lardan daha iyi olacağını belirtti."
Bilim Teknoloji,"Üniversite gençliğinin ""çıkardığı icatlar"" TEKNOFEST'te","Geliştirdikleri ürünlerle TEKNOFEST'te yerini alan üniversite öğrencilerinin çalışmaları, festival alanında kurulan stantlarda ziyaretçilerin beğenisine sunuldu."
Bilim Teknoloji,Yağışa rağmen TEKNOFEST'e yoğun ilgi,"Beşinci ve son gününde TEKNOFEST, şiddetli yağmura rağmen yoğun ilgi gördü."
Bilim Teknoloji,Teknoloji üretecek gençler TEKNOFEST'lerden yetişiyor,"Türkiye Bilimsel ve Teknolojik Araştırma Kurumu Başkanı Prof. Dr. Hasan Mandal, Türkiye'nin insanlık ve ülke için gerekli teknolojilerin üretilmesinde ana bileşen olan insan kaynağının TEKNOFEST'lerden yetiştiğini söyledi."
Bilim Teknoloji,"Uluslararası ödüllü ""kargo dron"" TEKNOFEST'te","İstanbul Teknik Üniversitesi öğrencilerinin kargo taşımak amacıyla geliştirdiği, ABD'de haziranda düzenlenen AUVSI Student Unmanned Aerial Systems Yarışması'nda genel sıralamada birinci olan dron, TEKNOFEST Ankara'da yarışma sonrası ilk defa sergilendi."
Bilim Teknoloji,Ziyaretçilerden TEKNOFEST'e tam not,"Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST'e katılan yediden yetmişe ziyaretçi, festivale tam not verdi."
Bilim Teknoloji,"Öğrenciler, hidromobil projelerini TEKNOFEST'te sergiledi","Milyonlarca teknoloji tutkununu bir araya getiren TEKNOFEST Ankara'da üniversitelerin hidrojen yakıtlı elektrikli araçları, ziyaretçilerden büyük ilgi gördü."
Bilim Teknoloji,Dünya devi Google 25'inci yılını geride bıraktı,"Dünyanın en büyük arama motoru Google, kuruluşundan bu yana 25 yılı geride bırakırken, Alphabet çatısı altında devam ettiği yolunda rekabet endişeleri ve alandaki yeni kurallarla sınanıyor."
Bilim Teknoloji,TEKNOFEST 5'inci ve son gününde devam ediyor,"Dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST'in 5'inci ve son günü kapsamında, etkinler, yarışmalar ve hava gösterileri gerçekleştirilecek."
Bilim Teknoloji,Karabük Üniversitesi öğrencileri TEKNOFEST'e katıldı,"Karabük Üniversitesi (KBÜ) öğrencileri, Ankara'da düzenlenen TEKNOFEST'te iletişim ve afet yönetim teknolojileri kategorilerinde yerini aldı."
Bilim Teknoloji,Adalet Bakanı Tunç'tan TEKNOFEST'e ziyaret,"Adalet Bakanı Yılmaz Tunç, TEKNOFEST fuar alanını ziyaret etti. Stantları ziyaret eden, vatandaşlarla fotoğraf çektiren Bakan Tunç ve Bayraktar, sergilenen Bayraktar KIZILELMA'yı da inceledi."
Bilim Teknoloji,Selçuk Üniversitesi’nin TEKNOFEST standına yoğun ilgi,"Selçuk Üniversitesi, dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST Ankara’da açtığı standıyla yoğun ilgi görüyor."
Bilim Teknoloji,Türkiye'nin ilk uzay yolcuları TEKNOFEST'te,"Türkiye'nin ilk uzay yolcuları Alper Gezeravcı ve Tuva Cihangir Atasever, dünyanın en büyük uzay, havacılık ve teknoloji festivali TEKNOFEST için Ankara'ya geldi."
Bilim Teknoloji,ATAK helikopteri milli silahla uçacak,"ATAK helikopteri, milli olarak geliştirilen 20 milimetre burun topuyla daha da güçlenecek."
Bilim Teknoloji,Yarı iletken çip sektörü Türkiye için fırsat olabilir,"Yongatek Microelectronics Genel Müdürü Ali Baran, ABD'deki çok önemli şirketlerin CEO'larının 21. yüzyılda petrolün yerini çipin alacağını söylediğini belirterek, ""Biz de bu konuyu Türkiye açısından bir fırsat olarak değerlendiriyoruz"" dedi."
Bilim Teknoloji,Yaşam üçgenlerini tespit eden dron TEKNOFEST'te,"Üniversite öğrencilerince ""Pençe ve Göz Projesi"" kapsamında geliştirilen dron sayesinde, deprem sonrası enkazdaki yaşam üçgenleri tespit edilerek, canlı olup olmadığı belirleniyor."
Bilim Teknoloji,"TEKNOFEST'te kenevir katkılı tekstil, kozmetik ve kompozit ürünleri ilgi çekti","Yozgat Bozok Üniversitesinin kenevir ile ilgili yürüttüğü çalışmalar kapsamında ürettiği tekstil ürünleri, kompozit malzemeler, kenevir katkılı asfalt beton ve kozmetik ürünler TEKNOFEST'te görücüye çıktı."
Bilim Teknoloji,Teknoloji kullanımı tarımda verimliliği artırıyor,"Tarım ve Orman Bakanı İbrahim Yumaklı, tarımsal üretimin farklı safhalarında teknolojinin kullanılabileceğini belirterek, ""Verimliliği ve kaliteyi artırmak adına mutlak suretle teknolojik gelişmeleri üretimin her safhasına monte etmeniz gerekiyor"" dedi."
Bilim Teknoloji,TEKNOFEST Bilim Sokağı'ndaki atölyeler çocukların uğrak yeri oldu,"Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST Ankara'daki Bilim Sokağı'nda bulunan atölyeler, her yaştan çocuğun en çok ilgi gösterdiği mekanlar arasında yer aldı."
Bilim Teknoloji,TEKNOFEST Ankara'da 4'üncü gün,"Dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST kapsamında, etkinler, yarışmalar ve Mazhar Alanson konseri gerçekleştirilecek."
Bilim Teknoloji,TEKNOFEST'te çocuklar teknolojiyi eğlenerek öğreniyor,"Türkiye Teknoloji Takımı Vakfı'nın, TEKNOFEST alanında oluşturduğu atölyelerde çocuklar hem eğleniyor hem de bilim ve teknoloji öğreniyor."
Bilim Teknoloji,TEKNOFEST'te çocuklara yönelik oyun kodlama yarışması tanıtılıyor,Oyun sektörünün gelişimi için çocuklara yönelik düzenlenen oyun kodlama yarışması TEKNOFEST'te tanıtılıyor. Yarışmayla gelecek neslin oyun kodlama alanında yetkin hale gelmesi ve oyun sektörünün geliştirilmesi amaçlanıyor.
Bilim Teknoloji,Adli vaka uygulamaları TEKNOFEST'te tanıtıldı,"TEKNOFEST'te tanınmaz hale gelmiş cesetlerin kimlik tespitinde uygulanan ""yüzlendirme"" yöntemi ile kayıp çocukların bulunması için başvurulan ""adli yaşlandırma"" uygulaması hakkında bilgi verildi."
Bilim Teknoloji,Öğrencilerin geliştirdiği roketler TEKNOFEST'te,"Lise ve üniversite öğrencilerinin katılımıyla yapılan Roket Yarışması'nda dereceye giren roketler, Ankara'da ilk kez düzenlenen TEKNOFEST'te görücüye çıktı."
Bilim Teknoloji,"ASELSAN'ın ""gözü"" TEKNOFEST'in üzerinde",TEKNOFEST alanının tamamı Türkiye'nin lider savunma ve teknoloji şirketlerinden ASELSAN'ın özgün mühendislik ürünü milli güvenlik kamera sistemleriyle izleniyor.
Bilim Teknoloji,TEKNOFEST'te yerli araçları yakından inceleme fırsatı,"Türkiye'nin en büyük teknoloji festivali TEKNOFEST'te ziyaretçiler, fuar alanında sergilenen yerli ve milli araçları yakından inceledi, hatıra fotoğrafı çektirdi."
Bilim Teknoloji,"EVA TEAM, TEKNOFEST yarışmalarında 12 ödül kazandı","Altınbaş Üniversitesi öğrencilerinin kurduğu elektrikli araç takımı ""EVA TEAM"", bugüne kadar geliştirdiği projelerle katıldığı TEKNOFEST yarışmalarında 12 ödül elde etti."
Bilim Teknoloji,"Milli İHA'ları ""sınıfının en iyi motorları"" uçuruyor","Türk savunma sanayisi bünyesinde geliştirilen ""sınıfının en iyisi"" motorlar, milli insansız hava araçlarının (İHA) gücüne güç katıyor."
Bilim Teknoloji,TRT bu yıl da TEKNOFEST coşkusunu dünyaya duyuruyor,"TEKNOFEST’in iletişim sponsoru TRT, Ankara'daki festival alanında 3 stantta ziyaretçiler için eğlenceli etkinlikler sunuyor. TRT stantları festivalin ikinci gününde de yoğun ilgi gördü."
Bilim Teknoloji,Bakan Kacır TEKNOFEST alanındaki stantları ziyaret etti,"Sanayi ve Teknoloji Bakanı Kacır, TEKNOFEST'e 2. gününde de muazzam bir ilgili olduğunu belirterek, katılımın 7'den 70'e olmasının gurur verici olduğunu açıkladı."
Bilim Teknoloji,Tarımda iş yükünü azaltacak projeler TEKNOFEST'te sergileniyor,"Ondokuz Mayıs Üniversitesi (OMÜ) Rektörü Prof. Dr. Yavuz Ünal, üniversite öğrencilerince geliştirilen tarımsal insansız hava ve kara aracı ile tarım alanlarında otonom ilaçlama ve yabani ot tespiti yapılabildiğini söyledi."
Bilim Teknoloji,"Cumhuriyetin 100. yılı için özel üretilen ""yerli tabanca"" TEKNOFEST'te sergileniyor","Savunma sanayisinin önde gelen üreticilerinden Sarsılmaz, Türkiye Cumhuriyeti'nin 100. yılına özel olarak ürettiği SAR 2023'ü TEKNOFEST'te ziyaretçilerin beğenisine sundu."
Bilim Teknoloji,Dijital Dönüşüm Yetenek Merkezinde eğitimini tamamlayanlar sertifikalarını TEKNOFEST'te aldılar,Gençlerin oyun ve kodlama yeteneklerini geliştirerek bu alanda başarılı yeteneklerin tespit edilmesine ve Turcorn'ların çıkmasına destek olmak amacıyla açılan Dijital Dönüşüm Yetenek Merkezinde (DDYM) yeni dönemde eğitimi tamamlayan 24 öğrenci sertifikalarını aldı.
Bilim Teknoloji,"Çin ""Yaogan-39"" askeri istihbarat uydularını fırlattı","Çin, uzaktan algılama özellikli Yaogan sınıfı askeri istihbarat uydularını uzaya gönderdi."
Bilim Teknoloji,Türk gençleri 'Togg'a oyun üretecek,"Dijital Dönüşüm Yetenek Merkezi Oyun Atölyesi'nde gençlerin ürettiği oyunlar, Türkiye'nin yerli ve milli arabası Togg'a uyumlu hale getirilecek."
Bilim Teknoloji,Bakan Tekin'den TEKNOFEST'e ziyaret,"Milli Eğitim Bakanı Yusuf Tekin, TEKNOFEST alanını ziyaret etti"
Bilim Teknoloji,"Yerli lojistik robot ""TARQAN"" TEKNOFEST'te vitrine çıktı","Türk mühendislerince yerli ve milli imkanlarla geliştirilen, bir tona kadar ağırlık taşıyabilen lojistik robot TARQAN, Ankara'daki TEKNOFEST'te görücüye çıktı."
Bilim Teknoloji,TEKNOFEST’te yerli çelik kanatlara büyük ilgi,"Başkent Ankara'da teknoloji ve bilim meraklılarına kapılarını açan TEKNOFEST’te yerli ve milli olarak üretilen çelik kanatlar ziyaretçilerden yoğun ilgi gördü. Vatandaşlar, yerli ve milli hava araçları ile fotoğraf çektirmek için uzun kuyruklar oluşturdu."
Bilim Teknoloji,Milli uçak motorunun ilk dönen parçaları ortaya çıktı,Türkiye'nin en güçlü milli havacılık motor ailesi TEI-TF6000/TEI-TF10000'in üretilen ilk dönen parçaları TEKNOFEST Ankara'da vitrine çıktı.
Bilim Teknoloji,"Uydular yıldızların yerini alıyor, Musk uzayın en güçlü kişisine dönüşüyor","Gökyüzünde yalnız gezen yıldızlar, artık o kadar yalnız değil. Öyle ki yakında geceleri gördüğümüz şey yıldızlardan daha çok uydular olabilir. Sebebi ise SpaceX başta olmak üzere uzay şirketlerinin uydu projeleri. Peki bu durum dünyada ve uzayda neleri riske atıyor?"
Bilim Teknoloji,Sağlık Bakanı Koca TEKNOFEST'i ziyaret etti,"Sağlık Bakanı Fahrettin Koca, TEKNOFEST 2023'ü ziyaret etti."
Bilim Teknoloji,TEKNOFEST'te TRT stantlarına yoğun ilgi,"TEKNOFEST’in 6'ncı yılında da TRT, iletişim sponsoru olarak festivalin paydaşlarından biri. Ankara'daki festival alanında TRT'nin 3 farklı standı kuruldu. TEKNOFEST ziyaretçilerini bu stantlarda eğlenceli etkinlikler bekliyor."
Bilim Teknoloji,"Bakan Kacır: TEKNOFEST, Milli Teknoloji Hamlesi'nin kalbi niteliğinde bir platform","Bakan Kacır, TEKNOFEST'in, Milli Teknoloji Hamlesi'nin kalbi niteliğinde bir platform olduğunu belirterek, ""TEKNOFEST'lerin ve Milli Teknoloji Hamlesi'nin önemli bir özelliği, Türkiye'yi yitik sevdasıyla buluşturmasıdır"" dedi."
Bilim Teknoloji,Simülasyon deneyim alanları TEKNOFEST'te ziyaretçilerini bekliyor,"Cumhuriyet'in 100. yılında Ankara'da düzenlenen dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST'te çeşitli simülasyon deneyim alanları, kara ve hava araçları sergisi gibi aktiviteler yer alıyor."
Bilim Teknoloji,Çankırı'da fosilleri bulunan 4 tür bilim dünyasına kazandırıldı,Çankırı Çorakyerler Omurgalı Fosil Lokalitesi'nde fosilleri bulunan 4 tür bilim dünyasına kazandırıldı.
Bilim Teknoloji,TEKNOFEST Ankara'da ziyaretçi rekoru bekleniyor,"Türkiye Teknoloji Takımı Vakfı Yönetim Kurulu Başkanı Elvan Kuzucu Hıdır, TEKNOFEST Ankara'nın çevrim içi ziyaretçi kayıtlarının İstanbul'daki organizasyonun 5-6 katı olduğunu söyledi."
Bilim Teknoloji,Siber güvenlikte interaktif deneyim TEKNOFEST'te,"Türkiye'nin en büyük teknoloji festivali TEKNOFEST'te STM, siber güvenlik alanına ilgi duyan gençlere interaktif ve eğlenceli bir deneyim sunuyor."
Bilim Teknoloji,TEKNOFEST Ankara'da kapılarını açtı,"Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST, Cumhuriyet'in 100. yılında Ankara'da teknoloji ve bilim meraklılarına kapılarını açtı."
Bilim Teknoloji,Bakan Kacır: Türkiye'mize üç büyük TEKNOFEST hediye ettik,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır TRT Haber özel yayınında değerlendirmelerde bulundu. Bakan Kacır, ""Cumhuriyetimizin 100. yılında biz Türkiye'mize üç büyük TEKNOFEST hediye etmek istedik. Dünyaya tam bağımsız Türkiye mesajını vermek istiyoruz"" dedi."
Bilim Teknoloji,Tarımda son teknolojiler TEKNOFEST'te sergilenecek,"Tarım ve Orman Bakanlığı, tarımda son teknolojileri, yarın başlayacak dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST'te vitrine çıkaracak."
Bilim Teknoloji,Çorumlu lise öğrencisi Tevfik Ali Mutlu: Selçuk Bayraktar bize rol model oldu,"Çorumlu lise öğrencisi Tevfik Ali Mutlu, Ankara’da gerçekleştirilecek olan TEKNOFEST’te Akıllı Ulaşım Sistemleri ve Mobilite alanında “Trafik Risk Bilgi Sistemi” projesiyle final için yarışacak."
Bilim Teknoloji,İklim değişikliğinin etkileri Teknofest'te üç boyutlu anlatılacak,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı, iklim krizinin etkilerine karşı katılımcıları bilinçlendirmek için Teknofest'te üç boyutlu 'İklim Tüneli' kuracak."
Bilim Teknoloji,TEKNOFEST coşkusu Cumhuriyet'in 100. yılında Ankara'da,"Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST, İstanbul'dan sonra yolculuğuna Ankara ile devam ediyor. Bugün başlayacak festival, Ankara Etimesgut Havalimanı'nda 3 Eylül'e kadar devam edecek."
Bilim Teknoloji,Adanalı öğrenciler dron projesiyle TEKNOFEST'te yarışacak,"Adana'da Alparslan Türkeş Bilim ve Teknoloji Üniversitesi öğrencileri, ""Umut Işığı"" adını verdikleri dron ile olası depremlerde yaşanabilecek elektrik kesintilerinde ışık problemini çözmeyi hedefliyor."
Bilim Teknoloji,"""Milli kanatlar"" TEKNOFEST Ankara'da boy gösterecek","Türk Havacılık Uzay Sanayii tarafından geliştirilen milli hava araçları, TEKNOFEST Ankara'da boy gösterecek."
Bilim Teknoloji,TEKNOFEST heyecanı yarın başlıyor,"Başkent Ankara, TEKNOFEST'e ilk kez ev sahipliği yapacak. Etimesgut Havaalanı'nda yarın başlayacak festivalde bilim ve teknoloji meraklıları, genç girişimciler ve sektör temsilcileri buluşacak."
Bilim Teknoloji,Yerli havacılık motorları TEKNOFEST'te sergilenecek,"Eskişehir'de kurulu TUSAŞ Motor Sanayii'nin, geliştirdiği motorları Ankara'daki TEKNOFEST Havacılık, Uzay ve Teknoloji Festivali'nde (TEKNOFEST 2023) ziyaretçilerle buluşturacak."
Bilim Teknoloji,Kamuda açık kaynak kodlu yazılım maliyetleri düşürecek,"Dijital Dönüşüm Ofisi Başkanı Ali Taha Koç, ""Kamuda açık kaynak kodlu yazılım kullanımının yaygınlaşmasıyla geleneksel bilgi teknolojileri altyapılarında kullanılan birçok yazılım unsuru açısından maliyetlerin azalmasını bekliyoruz"" dedi."
Bilim Teknoloji,"OpenAI, ChatGPT'nin şirketlere yönelik sürümünü yayınlayacak","Metin tabanlı yapay zeka uygulaması ChatGPT'yi geliştiren OpenAI, ChatGPT'nin iş dünyasını hedef alan sürümünü yayınlayacağını duyurdu."
Bilim Teknoloji,"Bursa'da ""Türk Uzay Kaşifleri Akademisi"" başladı","Türk Cumhuriyetler Uzay Kaşifleri Akademisi’nin açılışı Gökmen Uzay Havacılık Eğitim Merkezi'nde (GUHEM) gerçekleşti. Azerbaycan, Özbekistan, Kırgızistan, Kazakistan, Macaristan ve Türkiye’den toplam 82 öğrenci GUHEM’de alacakları eğitimle birlikte Türk devletlerinin gelecek yıllarda uzaydaki varlığını güçlendirecek."
Bilim Teknoloji,TEKNOFEST coşkusu Cumhuriyet'in 100. yılında Ankara'da,"Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST, İstanbul'dan sonra yolculuğuna Ankara ile devam ediyor."
Bilim Teknoloji,Space X'in 4 astronotu Uluslararası Uzay İstasyonu'na iniş yaptı,Elon Musk’ın sahibi olduğu uzay taşımacılığı şirketi Space X tarafından 26 Ağustos'ta uzaya gönderilen 4 astronot Uluslararası Uzay İstasyonu'na (UUİ) ulaştı.
Bilim Teknoloji,"Bakan Kacır TEKNOFEST paylaşımında ""T Kuşağı"" vurgusu yaptı","Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, Teknofest'in 30 Ağustos-3 Eylül tarihlerinde Ankara'da yapılacağını hatırlattı. Paylaşımında ""T Kuşağı"" diyerek ""Teknofest Kuşağı""na dikkat çekti."
Bilim Teknoloji,TEKNOFEST'te ASELSAN rüzgarı esecek,"ASELSAN, başından beri paydaş olarak desteklediği dünyanın en büyük havacılık, uzay ve teknoloji festivali TEKNOFEST'in Ankara ayağında son dönemde geliştirdiği bir dizi yüksek teknoloji ürününü sergileyecek."
Bilim Teknoloji,Türk savunma sanayiinden 2 yeni İHA sistemi,"Türk savunma sanayii bünyesinde geliştirilen insansız hava araçlarına, sınıflarında iddialı 2 yeni sistem ekleniyor."
Bilim Teknoloji,TEKNOFEST dünya çapında ses getiren bir etkinlik oldu,"Türkiye'nin ilk ve tek havacılık, uzay ve teknoloji festivali olan TEKNOFEST, başladığı 2018'den bu yana her yaştan bilim ve teknoloji meraklısını buluşturarak, dünya çapında ses getiren bir etkinliğe dönüştü."
Bilim Teknoloji,Popüler uygulamalar siber saldırıların hedefinde,"Sundukları olanaklarla kısa sürede milyonlarca kişiye ulaşan teknolojik çözümler, karşı karşıya kaldıkları zafiyetler nedeniyle kullanıcıları için riskleri de beraberinde getiriyor."
Bilim Teknoloji,"New York Times, CNN ve ABC, ChatGPT'nin içeriklerine erişmesini engelledi","New York Times, CNN, Reuters ve Australian Broadcasting Corporation (ABC) dahil olmak üzere haber kaynakları, OpenAI'den gelen bir aracı engelleyerek şirketin içeriklerine erişmeye devam etme yeteneğini sınırladı."
Bilim Teknoloji,Togg'un dijital sanat uygulaması Mode Art akıllı cihazları sanat galerisine dönüştürüyor,"Togg, dünyanın ilk çevrim içi dijital sanat yayın platformu Mode Art ile akıllı cihazları birer sanat galerisine dönüştürüyor."
Bilim Teknoloji,"Google, AB'nin yeni kurallarına uyacak","Teknoloji şirketi Google, Avrupa Birliği'nin (AB) dijital platformlara yönelik yeni katı kurallarına uyacağını bildirdi."
Bilim Teknoloji,Selçuk Bayraktar: TEKNOFEST çığ gibi büyüyerek bugünlere geldi,"TEKNOFEST'in dünyanın açık ara en büyük teknoloji etkinliği olduğunu belirten Yönetim Kurulu Başkanı Bayraktar, ""Teknoloji yarışmalarına 1 milyondan fazla öğrenci başvurdu. TEKNOFEST adeta bir volkan patlaması gibi büyüyen, çığ gibi büyüyen ve her geldiğinde bizleri coşkuyla dolduran bir mevsim"" dedi."
Bilim Teknoloji,AB'nin teknoloji devlerine yönelik katı kuralları yürürlüğe giriyor,"Avrupa Birliği (AB), çok sayıda kullanıcısı bulunan Google, Facebook ve YouTube gibi dünyanın en büyük teknoloji platformlarına, dezenformasyonu önleme ve yasa dışı içerikleri hızla kaldırma gibi yeni katı kurallarını yarın uygulamaya başlayacak."
Bilim Teknoloji,Dünyada bir ilk: Felçli kadın dijital avatar aracılığıyla 'konuşabildi',"Ağır felçli bir kadın, beyin sinyallerini konuşmaya ve yüz ifadelerine dönüştüren teknolojiyi kullanarak bir avatar aracılığıyla konuşabildi."
Bilim Teknoloji,Ay'a tarihi iniş için geri sayım başladı,"Hindistan, bugün üçüncü ay misyonuyla tarih yazmayı planlıyor. Chandrayaan-3 uzay aracı görevini başarıyla yerine getirirse Hindistan, Ay'ın az keşfedilen güney kutbu yakınına inen ilk ülke olacak."
